Goutdf.B.time,,Goutdf.B.Plasma,Goutdf.B.Liver,Goutdf.B.Kidney,Goutdf.B.Spleen,Goutdf.B.Lung,Goutdf.B.Brain,Goutdf.B.BAL,conf_intervals.time,conf_intervals.Plasma_mean,conf_intervals.Plasma_lower,conf_intervals.Plasma_upper,conf_intervals.Liver_mean,conf_intervals.Liver_lower,conf_intervals.Liver_upper,conf_intervals.Kidney_mean,conf_intervals.Kidney_lower,conf_intervals.Kidney_upper,conf_intervals.Spleen_mean,conf_intervals.Spleen_lower,conf_intervals.Spleen_upper,conf_intervals.Lung_mean,conf_intervals.Lung_lower,conf_intervals.Lung_upper,conf_intervals.Brain_mean,conf_intervals.Brain_lower,conf_intervals.Brain_upper,conf_intervals.BAL_mean,conf_intervals.BAL_lower,conf_intervals.BAL_upper
0.05,,233.8072789,130.6181552,78.91395733,72.94164881,118.1857004,14.08370631,7.905000041,0.05,233.7208075,230.9765775,236.1249428,130.7739593,125.3230782,137.0605611,78.88356565,77.98665804,79.68606827,72.93909773,72.20231888,73.58509839,118.1426139,116.7755003,119.3405155,14.07859224,13.91637434,14.22082646,7.905000041,7.905000041,7.905000041
0.1,,189.8610578,146.8656777,64.16538015,89.27325154,98.51985374,11.42933837,7.905000148,0.1,189.7165054,185.1903348,193.762197,147.1376834,136.8163259,158.739134,64.115611,62.6212972,65.47351383,89.287156,86.75083894,91.73858658,98.44693476,96.16283569,100.4873056,11.42071064,11.15046567,11.66210288,7.905000148,7.905000147,7.905000149
0.15,,158.2829884,161.5149887,53.62586483,94.66387278,84.60579685,9.526342421,7.905000309,0.15,158.10527,152.3325094,163.1813885,161.8638459,147.6311793,177.5593157,53.56496666,51.6515966,55.27055667,94.69917491,90.13345399,99.27493781,84.51491268,81.56374466,87.10696644,9.515702339,9.170198154,9.819381869,7.905000309,7.905000306,7.905000312
0.2,,133.7731079,174.4696732,45.46328655,97.74154452,73.91329868,8.050443632,7.905000514,0.2,133.5805048,127.1095665,139.343078,174.8680326,157.4528079,193.8567224,45.39736215,43.20446091,47.34410054,97.79545085,91.38515849,104.3504572,73.81325056,70.47022774,76.79943388,8.038894675,7.651337935,8.384181427,7.905000513,7.905000507,7.905000519
0.25,,114.286589,185.9652848,38.98142981,100.3384367,65.48947643,6.877399582,7.905000756,0.25,114.0913147,107.2601486,120.2059636,186.3936886,166.4028474,208.2286171,38.9145626,36.56256618,40.979767,100.4069348,92.32433662,108.671838,65.38621634,61.78926118,68.61214875,6.86567993,6.455808299,7.232432975,7.905000755,7.905000743,7.905000766
0.3,,98.6639154,196.2563036,33.79018965,102.8340907,58.80431226,5.937141008,7.90500103,0.3,98.47352801,91.54044136,104.7175566,196.7008509,174.5892444,220.8849865,33.72491152,31.30265828,35.84832099,102.9137282,93.35711586,112.6305033,58.70158772,54.99057768,62.04598696,5.925708353,5.50973006,6.300276221,7.905001029,7.90500101,7.905001046
0.35,,86.08422696,205.559632,29.61481033,105.2998241,53.48571261,5.180178247,7.905001331,0.35,85.90305723,78.97655047,92.15519844,206.0104481,182.1031601,232.152071,29.55258326,27.12160511,31.69330941,105.3878191,94.57088957,116.3386573,53.38573357,49.6189016,56.7909024,5.169294695,4.753544877,5.544520312,7.90500133,7.905001302,7.905001356
0.4,,75.91749502,214.0510981,26.24475046,107.7430995,49.24887107,4.568554399,7.905001657,0.4,75.74767153,68.93832312,81.92694598,214.5012252,188.9160764,242.2908921,26.1862795,23.79130445,28.30189215,107.8373384,95.93618296,119.8446366,49.15279052,45.37709478,52.57554744,4.558349432,4.149515361,4.929336844,7.905001655,7.905001616,7.905001691
0.45,,67.66830173,221.8715131,23.51452968,110.1596285,45.87003588,4.072428399,7.905002003,0.45,67.51056174,60.88358889,73.54494826,222.3161006,195.4243724,251.5086009,23.46006601,21.12873597,25.52948638,110.2584426,97.41651643,123.1344896,45.77833275,42.02747312,49.19720884,4.062947374,3.664978383,4.425309184,7.905002002,7.905001949,7.905002048
0.5,,60.94454886,229.1333685,21.29319824,112.5439514,43.17219473,3.668183897,7.905002369,0.5,60.79872347,54.38810771,66.65860833,229.56908,201.5072222,259.9162079,21.24268642,18.99342082,23.25627268,112.6460942,98.98019177,126.3273308,43.08490318,39.37762304,46.47589639,3.659417367,3.274376577,4.011357618,7.905002367,7.905002299,7.905002427
