parameter,type,value
PR,NSC_CPlas,-0.350693008
KLRESabsorb,NSC_CPlas,-0.32066214
PS,NSC_CPlas,-0.110371502
KSRESabsorb,NSC_CPlas,-0.104332705
KRRESabsorb,NSC_CPlas,-0.03474942
KurineC,NSC_CPlas,-0.029377193
PL,NSC_CPlas,-0.011574759
PLu,NSC_CPlas,-0.004006271
KLuRESabsorb,NSC_CPlas,-0.002973901
PK,NSC_CPlas,-0.002152951
PASC,NSC_CPlas,-0.001393405
PARC,NSC_CPlas,-0.001181298
KKRESabsorb,NSC_CPlas,-0.000255488
KLRESrelease,NSC_CPlas,0
KSRESrelease,NSC_CPlas,0
KKRESrelease,NSC_CPlas,0
KLuRESrelease,NSC_CPlas,0
KBrRESrelease,NSC_CPlas,0
KBrRESabsorb,NSC_CPlas,0
KRRESrelease,NSC_CPlas,0
Kbile,NSC_CPlas,0
PBr,NSC_CPlas,1.82E-10
PABrC,NSC_CPlas,0.000019
PALuC,NSC_CPlas,0.0000226
PAKC,NSC_CPlas,0.0000481
PALC,NSC_CPlas,0.000201344
PR,NSC_CLiver,-0.39118718
KLRESabsorb,NSC_CLiver,0.648666224
PS,NSC_CLiver,-0.089524969
KSRESabsorb,NSC_CLiver,-0.081122887
KRRESabsorb,NSC_CLiver,-0.022554174
KurineC,NSC_CLiver,-0.020996608
PL,NSC_CLiver,0.024689508
PLu,NSC_CLiver,-0.003740883
KLuRESabsorb,NSC_CLiver,-0.002162434
PK,NSC_CLiver,-0.003102769
PASC,NSC_CLiver,-0.001204425
PARC,NSC_CLiver,-0.023668952
KKRESabsorb,NSC_CLiver,-0.000211327
KLRESrelease,NSC_CLiver,0
KSRESrelease,NSC_CLiver,0
KKRESrelease,NSC_CLiver,0
KLuRESrelease,NSC_CLiver,0
KBrRESrelease,NSC_CLiver,0
KBrRESabsorb,NSC_CLiver,0
KRRESrelease,NSC_CLiver,0
Kbile,NSC_CLiver,0
PBr,NSC_CLiver,-9.53E-10
PABrC,NSC_CLiver,-0.0000211
PALuC,NSC_CLiver,-0.0000148
PAKC,NSC_CLiver,-0.0000222
PALC,NSC_CLiver,-0.0000502
PR,NSC_CKidney,-0.351423506
KLRESabsorb,NSC_CKidney,-0.314542914
PS,NSC_CKidney,-0.108310844
KSRESabsorb,NSC_CKidney,-0.102209572
KRRESabsorb,NSC_CKidney,-0.033969208
KurineC,NSC_CKidney,-0.032388335
PL,NSC_CKidney,-0.011775396
PLu,NSC_CKidney,-0.003973494
KLuRESabsorb,NSC_CKidney,-0.002958852
PK,NSC_CKidney,0.54524051
PASC,NSC_CKidney,-0.001371138
PARC,NSC_CKidney,-0.002483428
KKRESabsorb,NSC_CKidney,0.045627797
KLRESrelease,NSC_CKidney,0
KSRESrelease,NSC_CKidney,0
KKRESrelease,NSC_CKidney,0
KLuRESrelease,NSC_CKidney,0
KBrRESrelease,NSC_CKidney,0
KBrRESabsorb,NSC_CKidney,0
KRRESrelease,NSC_CKidney,0
Kbile,NSC_CKidney,0
PBr,NSC_CKidney,-6.67E-10
PABrC,NSC_CKidney,0.0000171
PALuC,NSC_CKidney,0.0000222
PAKC,NSC_CKidney,-0.000771971
PALC,NSC_CKidney,0.000113134
PR,NSC_CSpleen,-0.389111515
KLRESabsorb,NSC_CSpleen,-0.231916022
PS,NSC_CSpleen,0.652618712
KSRESabsorb,NSC_CSpleen,0.605772965
KRRESabsorb,NSC_CSpleen,-0.023026583
KurineC,NSC_CSpleen,-0.021317572
PL,NSC_CSpleen,-0.014519818
PLu,NSC_CSpleen,-0.003761706
KLuRESabsorb,NSC_CSpleen,-0.002194444
PK,NSC_CSpleen,-0.003068013
PASC,NSC_CSpleen,0.008486326
PARC,NSC_CSpleen,-0.0226093
KKRESabsorb,NSC_CSpleen,-0.00020901
KLRESrelease,NSC_CSpleen,0
KSRESrelease,NSC_CSpleen,0
KKRESrelease,NSC_CSpleen,0
KLuRESrelease,NSC_CSpleen,0
KBrRESrelease,NSC_CSpleen,0
KBrRESabsorb,NSC_CSpleen,0
KRRESrelease,NSC_CSpleen,0
Kbile,NSC_CSpleen,0
PBr,NSC_CSpleen,-1.02E-09
PABrC,NSC_CSpleen,-0.0000186
PALuC,NSC_CSpleen,-0.00000793
PAKC,NSC_CSpleen,-0.0000201
PALC,NSC_CSpleen,-0.0000162
PR,NSC_CLung,-0.365600299
KLRESabsorb,NSC_CLung,-0.28702242
PS,NSC_CLung,-0.09913811
KSRESabsorb,NSC_CLung,-0.092487829
KRRESabsorb,NSC_CLung,-0.030301474
KurineC,NSC_CLung,-0.02632209
PL,NSC_CLung,-0.012714046
PLu,NSC_CLung,0.510401863
KLuRESabsorb,NSC_CLung,0.331133248
PK,NSC_CLung,-0.002496055
PASC,NSC_CLung,-0.001277602
PARC,NSC_CLung,-0.009410003
KKRESabsorb,NSC_CLung,-0.000239521
KLRESrelease,NSC_CLung,0
KSRESrelease,NSC_CLung,0
KKRESrelease,NSC_CLung,0
KLuRESrelease,NSC_CLung,0
KBrRESrelease,NSC_CLung,0
KBrRESabsorb,NSC_CLung,0
KRRESrelease,NSC_CLung,0
Kbile,NSC_CLung,0
PBr,NSC_CLung,-2.43E-10
PABrC,NSC_CLung,0.00000433
PALuC,NSC_CLung,0.0000344
PAKC,NSC_CLung,0.0000224
PALC,NSC_CLung,0.000124521
PR,NSC_CBrain,-0.350118661
KLRESabsorb,NSC_CBrain,-0.319477684
PS,NSC_CBrain,-0.109965268
KSRESabsorb,NSC_CBrain,-0.103930992
KRRESabsorb,NSC_CBrain,-0.034609572
KurineC,NSC_CBrain,-0.02926948
PL,NSC_CBrain,-0.011640193
PLu,NSC_CBrain,-0.003990288
KLuRESabsorb,NSC_CBrain,-0.003025147
PK,NSC_CBrain,-0.002198366
PASC,NSC_CBrain,-0.001390366
PARC,NSC_CBrain,-0.001435368
KKRESabsorb,NSC_CBrain,-0.000256388
KLRESrelease,NSC_CBrain,0
KSRESrelease,NSC_CBrain,0
KKRESrelease,NSC_CBrain,0
KLuRESrelease,NSC_CBrain,0
KBrRESrelease,NSC_CBrain,0
KBrRESabsorb,NSC_CBrain,0.001970831
KRRESrelease,NSC_CBrain,0
Kbile,NSC_CBrain,0
PBr,NSC_CBrain,0.000000365
PABrC,NSC_CBrain,0.002888617
PALuC,NSC_CBrain,0.0000149
PAKC,NSC_CBrain,0.0000439
PALC,NSC_CBrain,0.000152155
