"results.Individual_1.simulation.ID","results.Individual_1.simulation.time","results.Individual_1.simulation.CPlas","results.Individual_1.simulation.Bal","results.Individual_1.simulation.Aurine","results.Individual_1.simulation.Curine","results.Individual_1.conf_intervals.time","results.Individual_1.conf_intervals.Curine_mean","results.Individual_1.conf_intervals.Curine_lower","results.Individual_1.conf_intervals.Curine_upper","results.Individual_2.simulation.ID","results.Individual_2.simulation.time","results.Individual_2.simulation.CPlas","results.Individual_2.simulation.Bal","results.Individual_2.simulation.Aurine","results.Individual_2.simulation.Curine","results.Individual_2.conf_intervals.time","results.Individual_2.conf_intervals.Curine_mean","results.Individual_2.conf_intervals.Curine_lower","results.Individual_2.conf_intervals.Curine_upper","results.Individual_3.simulation.ID","results.Individual_3.simulation.time","results.Individual_3.simulation.CPlas","results.Individual_3.simulation.Bal","results.Individual_3.simulation.Aurine","results.Individual_3.simulation.Curine","results.Individual_3.conf_intervals.time","results.Individual_3.conf_intervals.Curine_mean","results.Individual_3.conf_intervals.Curine_lower","results.Individual_3.conf_intervals.Curine_upper","summary.Individual_1.GTDOSE","summary.Individual_1.dose","summary.Individual_1.weight","summary.Individual_2.GTDOSE","summary.Individual_2.dose","summary.Individual_2.weight","summary.Individual_3.GTDOSE","summary.Individual_3.dose","summary.Individual_3.weight"
1,500,3.7808590006188e-09,0.00603369669975131,7.62444806502088e-08,5.08296537668058e-08,500,5.09861546235637e-08,3.89171157553477e-08,6.64159699904763e-08,2,500,3.46565148474539e-09,0.00563145005625016,7.1195608725851e-08,4.74637391505673e-08,500,4.70908952194836e-08,3.66309165167723e-08,5.79990134675561e-08,3,500,5.62124621015566e-10,0.00091307490307912,1.15434313909316e-08,7.69562092728771e-09,500,7.68763018297648e-09,6.10048308948369e-09,9.73946212899246e-09,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,1000,4.74382522309825e-09,0.0120674007687727,1.54011448780511e-07,1.02674299187007e-07,1000,1.03008215667214e-07,7.8429703602751e-08,1.34756581780492e-07,2,1000,4.35280937168843e-09,0.0112629069807003,1.43784095884343e-07,9.58560639228955e-08,1000,9.5190982532422e-08,7.41014769715819e-08,1.16954357653022e-07,3,1000,5.29825091088072e-10,0.00182615092109598,2.34080169486064e-08,1.56053446324043e-08,1000,1.55198031786234e-08,1.23529902589273e-08,1.96852868526782e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,1500,4.60640554928881e-09,0.0181011118822596,2.32372258678939e-07,1.54914839119293e-07,1500,1.5509778607989e-07,1.18126217625646e-07,2.02803574518414e-07,2,1500,4.28671742800756e-09,0.016894370497348,2.16887591010957e-07,1.44591727340638e-07,1500,1.43221506044565e-07,1.11627867903903e-07,1.75783723400165e-07,3,1500,7.08030805628383e-10,0.00273922800907525,3.51589848797201e-08,2.34393232531468e-08,1500,2.33500803274872e-08,1.85760964170358e-08,2.96402514382407e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,2000,5.94539985839033e-09,0.0241348297880524,3.09937876543682e-07,2.06625251029122e-07,2000,2.06942604224582e-07,1.57626370848063e-07,2.70679871569036e-07,2,2000,5.5217487167814e-09,0.0225258403388397,2.89289800212739e-07,1.92859866808493e-07,2000,1.91098689299419e-07,1.48924660309392e-07,2.34774242459216e-07,3,2000,9.06131247165186e-10,0.00365230612069332,4.68994142018315e-08,3.12662761345543e-08,2000,3.11507074351889e-08,2.47648033206096e-08,3.95309920702129e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,2500,6.98721316265667e-09,0.0301685542207375,3.8766812320934e-07,2.58445415472893e-07,2500,2.5874744283798e-07,1.9711019059817e-07,3.38330574451167e-07,2,2500,6.49743481871955e-09,0.0281573162785166,3.61835881573425e-07,2.4122392104895e-07,2500,2.38938562879587e-07,1.86267762229229e-07,2.93486095006472e-07,3,2500,1.21876531917034e-09,0.00456538521661769,5.8590013731117e-08,3.9060009154078e-08,2500,3.89333471789511e-08,3.09318029139446e-08,4.942580300395e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,3000,3.94226323007892e-09,0.0362022849016377,4.63864358677605e-07,3.0924290578507e-07,3000,3.09962110703895e-07,2.35981338580723e-07,4.06137847624048e-07,2,3000,3.66335427750844e-09,0.0337887980511229,4.32948365384862e-07,2.88632243589908e-07,3000,2.86286481401204e-07,2.23066632841941e-07,3.52270284341638e-07,3,3000,3.70500719162559e-10,0.00547846525851232,7.03183637164598e-08,4.68789091443065e-08,3000,4.66743079871833e-08,3.70662384326463e-08,5.92612224812008e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,3500,4.36302346705289e-09,0.0419487028283936,5.4192399574798e-07,3.61282663831987e-07,3500,3.61993812729804e-07,2.754895349565e-07,4.74305051362486e-07,2,3500,4.01499517306363e-09,0.0391521212639511,5.05826318061207e-07,3.37217545374138e-07,3500,3.34383137871227e-07,2.60348544068316e-07,4.11119095413496e-07,3,3500,4.15517237032816e-10,0.00634806648172022,8.21412081354163e-08,5.47608054236109e-08,3500,5.45197944472381e-08,4.33069002228642e-08,6.9189879987083e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,4000,4.74341410171713e-09,0.0479824452219577,6.200057569669e-07,4.13337171311267e-07,4000,4.1412854616099e-07,3.15181469212695e-07,5.42119419660755e-07,2,4000,4.35277548758996e-09,0.0447836139621068,5.78711857270275e-07,3.8580790484685e-07,4000,3.8249856286809e-07,2.97853569666953e-07,4.70294209394088e-07,3,4000,5.33559642836706e-10,0.00726114830750917,9.39245860708218e-08,6.26163907138812e-08,4000,6.23470622920225e-08,4.95617591193072e-08,7.9106272257315e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,4500,5.11792842691415e-09,0.0540161931233579,6.98090583413889e-07,4.65393722275926e-07,4500,4.66169304677627e-07,3.54861579328634e-07,6.10170733679255e-07,2,4500,4.69479063240726e-09,0.0504151118086319,6.51595209532003e-07,4.34396806354669e-07,4500,4.30528144119183e-07,3.35359399321184e-07,5.29373042030886e-07,3,4500,8.0053173830957e-10,0.00817423096831517,1.0562794298679e-07,7.04186286578603e-08,4500,7.01544125146919e-08,5.57754330564404e-08,8.9018388266504e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,5000,6.12291260071129e-09,0.0600499463199563,7.75837207670093e-07,5.17224805113395e-07,5000,5.18049874051081e-07,3.94362305373984e-07,6.78064615895923e-07,2,5000,5.7246814308591e-09,0.056046614585941,7.24109046200866e-07,4.8273936413391e-07,5000,4.78408055653903e-07,3.72666533638487e-07,5.88052072829701e-07,3,5000,9.23655847512455e-10,0.00908731442776047,1.17408659563803e-07,7.82724397092023e-08,5000,7.79688840258443e-08,6.19768611743557e-08,9.89388054573648e-08,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
